Round,Accuracy,Loss
0,0.0968,2.3037291900634767
1,0.4639,1.7111121225357055
2,0.6595,1.2094578731536865
3,0.7118,1.000336353302002
4,0.6993,0.938148118019104
5,0.7261,0.8200340286254882
6,0.703,0.863110813331604
7,0.7057,0.8084270228862762
8,0.6989,0.8513202818870544
9,0.7385,0.7189111157417297
10,0.732,0.7370001004219056
