Round,Accuracy,Loss
0,0.0998,2.3033326343536378
1,0.3793,1.7605436309814453
2,0.6312,1.1618548889160156
3,0.706,1.0735884928703308
4,0.7241,0.7270329494476319
5,0.7559,0.8818217262744904
6,0.7429,0.6389973136425018
7,0.7737,0.8137849731445312
8,0.7681,0.5665441637992858
9,0.799,0.7255095890760421
10,0.7913,0.5135358280658722
