Round,Accuracy,Loss
0,0.0968,2.3037291900634767
1,0.4563,1.7118990020751954
2,0.6643,1.187124693775177
3,0.6968,1.0554063384056092
4,0.727,0.8868340317726136
5,0.7371,0.841441940689087
6,0.7335,0.7987065440177917
7,0.7157,0.8116406408786774
8,0.7093,0.832634887123108
9,0.675,0.8400696467399598
10,0.7034,0.8513819003105163
