Round,Accuracy,Loss
0,0.0968,2.3037291900634767
1,0.2037,7.435465229797363
2,0.2712,5.647385381317139
3,0.298,5.039126747894287
4,0.291,3.9371493232727053
5,0.298,5.557907428741455
6,0.2902,6.735640613555908
7,0.4455,3.5572692192077637
8,0.3797,3.782764682006836
9,0.319,4.982277041625976
10,0.3223,4.017686588668823
