Round,Accuracy,Loss
0,0.0998,2.3033326343536378
1,0.3195,1.8261993547439574
2,0.5702,1.2577586959838867
3,0.6337,1.177043039703369
4,0.6778,0.9037389165878296
5,0.7021,1.0023844610214234
6,0.7216,0.7504900827407837
7,0.7515,0.83885221824646
8,0.745,0.6541962329864502
9,0.7647,0.7446963850975037
10,0.7612,0.6022918706417084
