round,loss,val_accuracy
1,1.8727996791998545,0.35475
2,1.4453554926315944,0.5714166666666667
3,1.1148263019124667,0.652
4,1.031040754000346,0.6860833333333334
5,0.9186201601823171,0.6995833333333332
6,0.8952650873859723,0.71675
7,0.863014690083762,0.6919166666666666
8,0.8879653876026471,0.7006666666666668
9,0.9290333706562718,0.65825
10,0.9164295272231102,0.6853333333333333
1,1.872799677014351,0.35475
2,1.4236836025516193,0.5705000000000001
3,1.110939857572317,0.6565
4,1.049797755410274,0.6895833333333333
5,0.9067584369182586,0.7019166666666666
6,0.9137933426300685,0.7150000000000001
7,0.868100972160697,0.6926666666666667
8,0.8583944180210431,0.7073333333333333
9,0.8728165425409873,0.6773333333333333
10,0.8240677971144518,0.7087499999999999
